		 二浪以上 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
	越生	 計 	 7 	 4 	 3 	 5 	 3 	 2 	 - 	 - 	 - 	 - 	 - 	 - 	 5 	 3 	 2 	 2 	 1 	 1 	 - 	 - 	 - 	 2 	 1 	 1 	 - 	 - 	 - 			
		 現役 	 7 	 4 	 3 	 5 	 3 	 2 	 - 	 - 	 - 	 - 	 - 	 - 	 5 	 3 	 2 	 2 	 1 	 1 	 - 	 - 	 - 	 2 	 1 	 1 	 - 	 - 	 - 	 73 	 39 	 34 
		 一浪 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
普通科	春日部	 計 	 318 	 318 	 … 	 318 	 318 	 … 	 126 	 126 	 … 	 9 	 9 	 … 	 183 	 183 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 			
		 現役 	 221 	 221 	 … 	 221 	 221 	 … 	 85 	 85 	 … 	 7 	 7 	 … 	 129 	 129 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 358 	 358 	 … 
		 一浪 	 91 	 91 	 … 	 91 	 91 	 … 	 39 	 39 	 … 	 2 	 2 	 … 	 50 	 50 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 … 	 … 	 … 			
		 二浪以上 	 6 	 6 	 … 	 6 	 6 	 … 	 2 	 2 	 … 	 - 	 - 	 … 	 4 	 4 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 … 	 … 	 … 			
	春日部女子	 計 	 242 	 … 	 242 	 239 	 … 	 239 	 7 	 … 	 7 	 7 	 … 	 7 	 225 	 … 	 225 	 3 	 … 	 3 	 - 	 … 	 - 	 3 	 … 	 3 	 - 	 … 	 - 			
		 現役 	 238 	 … 	 238 	 235 	 … 	 235 	 6 	 … 	 6 	 6 	 … 	 6 	 223 	 … 	 223 	 3 	 … 	 3 	 - 	 … 	 - 	 3 	 … 	 3 	 - 	 … 	 - 	 267 	 … 	 267 
		 一浪 	 4 	 … 	 4 	 4 	 … 	 4 	 1 	 … 	 1 	 1 	 … 	 1 	 2 	 … 	 2 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 … 	 … 	 … 			
		 二浪以上 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 - 	 … 	 - 	 … 	 … 	 … 			
	春日部東	 計 	 283 	 202 	 81 	 280 	 201 	 79 	 27 	 25 	 2 	 10 	 5 	 5 	 243 	 171 	 72 	 2 	 - 	 2 	 1 	 - 	 1 	 1 	 - 	 1 	 1 	 1 	 - 			
		 現役 	 278 	 199 	 79 	 275 	 198 	 77 	 27 	 25 	 2 	 10 	 5 	 5 	 238 	 168 	 70 	 2 	 - 	 2 	 1 	 - 	 1 	 1 	 - 	 1 	 1 	 1 	 - 	 311 	 217 	 94 
		 一浪 	 5 	 3 	 2 	 5 	 3 	 2 	 - 	 - 	 - 	 - 	 - 	 - 	 5 	 3 	 2 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
		 二浪以上 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 - 	 … 	 … 	 … 			
	川口	 計 	 210 	 130 	 80 	 204 	 129 	 75 	 2 	 2 	 - 	 - 	 - 	 - 	 202 	 127 	 75 	 6 	 1 	 5 	 - 	 - 	 - 	 6 	 1 	 5 	 - 	 - 	 - 			
